2024-09-24 18:19:35,556 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Configure stats pid to 60390
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Loading settings from /Users/tylerpoore/.config/wandb/settings
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Loading settings from /Users/tylerpoore/Workspace/projects/squad-deberta-analysis/wandb/settings
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'scripts/run_experiment.py', 'program_abspath': '/Users/tylerpoore/Workspace/projects/squad-deberta-analysis/scripts/run_experiment.py', 'program': '/Users/tylerpoore/Workspace/projects/squad-deberta-analysis/scripts/run_experiment.py'}
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_init.py:_log_setup():532] Logging user logs to /Users/tylerpoore/Workspace/projects/squad-deberta-analysis/wandb/run-20240924_181935-sv11t4l3/logs/debug.log
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/tylerpoore/Workspace/projects/squad-deberta-analysis/wandb/run-20240924_181935-sv11t4l3/logs/debug-internal.log
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_init.py:init():616] calling init triggers
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'batch_size': 32, 'model_name': 'microsoft/deberta-v3-base', 'epochs': 10, 'learning_rate': '2e-5', 'weight_decay': 0.001, 'max_length': 512, 'patience': 2, 'padding': 'longest', 'stride': 128, 'best_model_path': './models/experiment_1/best_model'}
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_init.py:init():666] starting backend
2024-09-24 18:19:35,557 INFO    MainThread:60390 [wandb_init.py:init():670] setting up manager
2024-09-24 18:19:35,559 INFO    MainThread:60390 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-24 18:19:35,560 INFO    MainThread:60390 [wandb_init.py:init():678] backend started and connected
2024-09-24 18:19:35,564 INFO    MainThread:60390 [wandb_init.py:init():773] updated telemetry
2024-09-24 18:19:35,611 INFO    MainThread:60390 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-24 18:19:37,204 INFO    MainThread:60390 [wandb_init.py:init():857] starting run threads in backend
2024-09-24 18:19:37,248 INFO    MainThread:60390 [wandb_run.py:_console_start():2459] atexit reg
2024-09-24 18:19:37,248 INFO    MainThread:60390 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-24 18:19:37,248 INFO    MainThread:60390 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-24 18:19:37,249 INFO    MainThread:60390 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-24 18:19:37,250 INFO    MainThread:60390 [wandb_init.py:init():900] run started, returning control to user process
2024-09-24 18:19:37,268 WARNING MsgRouterThr:60390 [router.py:message_loop():77] message_loop has been closed
